Examinee_ID	Examinee_CAMOS	Examinee_DemogFlags	Examiner_ID	TestStemForm	Item_CMSID_Examiner	Item_CMSID_Examinee	Item_Heading	Master_ID	RT	ItemTimeStamp	ItemEndTimeStamp	Delivered_Order	Response	Score	UPRFlag	QFlag	Assignment_ID	Session_ID	Active
0N06007	81	FWN6	Examiner05	OVANT.W5N	422462343	422187732	Item 14	OVANT_255	1.738	2022-07-14 05:51:20.087	2022-07-14 05:51:21.827	17	whisper	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422466412	422192269	Item 15	OVANT_060	1.843	2022-07-14 05:51:21.837	2022-07-14 05:51:23.680	18	limitless	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422471436	422192773	Item 16	OVANT_125	1.682	2022-07-14 05:51:23.690	2022-07-14 05:51:25.373	19	singular	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422477522	422197199	Item 17	OVANT_083	1.541	2022-07-14 05:51:25.387	2022-07-14 05:51:26.930	20	foreign	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422478716	422198313	Item 18	OVANT_112	2.108	2022-07-14 05:51:26.940	2022-07-14 05:51:29.047	21	confident	1	3	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422485498	422198602	Item 19	OVANT_096	13.995	2022-07-14 05:51:29.063	2022-07-14 05:51:43.057	22	diligent	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422486368	422203780	Item 20	OVANT_175	4.716	2022-07-14 05:51:43.070	2022-07-14 05:51:47.787	23	NR	0	-2	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422489157	422213904	Item 21	OVANT_020	28.144	2022-07-14 05:51:47.793	2022-07-14 05:52:15.937	24	DK	0	-1	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422492427	422216950	Item 22	OVANT_209	17.155	2022-07-14 05:52:15.953	2022-07-14 05:52:33.107	25	NR	0	-2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422493255	422218765	Item 23	OVANT_202	2.214	2022-07-14 05:52:33.123	2022-07-14 05:52:35.337	26	earlier	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422498905	422221088	Item 24	OVANT_022	1.706	2022-07-14 05:52:35.343	2022-07-14 05:52:37.047	27	aggressive	0	2	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422502509	422221702	Item 25	OVANT_023	15.949	2022-07-14 05:52:37.057	2022-07-14 05:52:53.007	28	Other 1	1	1	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422507714	422223045	Item 26	OVANT_025	11.098	2022-07-14 05:52:53.023	2022-07-14 05:53:04.120	29	Other 0	0	1	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422508790	422226787	Item 27	OVANT_214	7.904	2022-07-14 05:53:04.127	2022-07-14 05:53:12.033	30	weak	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422513468	422232123	Item 28	OVANT_238	17.186	2022-07-14 05:53:12.047	2022-07-14 05:53:29.233	31	Other 1	1	1	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422515835	422239544	Item 29	OVANT_241	1.941	2022-07-14 05:53:29.250	2022-07-14 05:53:31.193	32	amenable	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422516068	422243646	Item 30	OVANT_229	2.567	2022-07-14 05:53:31.203	2022-07-14 05:53:33.770	33	gloomy	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422520235	422244106	Item 31	OVANT_235	1.801	2022-07-14 05:53:33.787	2022-07-14 05:53:35.587	34	humorless	1	3	0	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	422521413	422248383	Item 32	OVANT_242	19.760	2022-07-14 05:53:35.597	2022-07-14 05:53:55.357	35	blame	1	3	-1	617-11038	18Tz9b_22.07.14	1
0N06007	81	FWN6	Examiner05	OVANT.W5N	443173977			OVANT_QON	2.062	2022-07-14 05:53:55.370	2022-07-14 05:53:57.430	36	[None of the above]	1	0	-1	617-11038	18Tz9b_22.07.14	1
